name,x,y,direction,next1,next2,next3
r139,860,200,e,r140,,
r140,860,210,e,r143,,
r143,860,290,e,r142,,
r142,860,290,w,r144,,
r144,860,350,w,r145,,
r145,860,380,e,r146,,
r146,860,440,e,r147,,
r147,860,460,w,r148,,
r148,860,510,e,r149,,
r149,860,540,w,r152,,
r152,860,570,w,t104,,
r153,830,600,s,t105,,
r160,540,830,w,,,
r161,630,830,n,,,
r162,630,830,s,,,
r163,630,770,e,r165,,
r164,510,770,n,,,
r165,630,770,n,,,
r167,660,710,s,r168,,
r168,610,710,n,t107,,
r169,580,670,n,,,
r170,500,670,n,,,
r174,700,710,s,r167,,
r261,860,320,e,,,
r258,860,240,e,,,
r257,860,210,e,,,
s101,840,920,w,t113,s301,
s102,860,580,e,s202,,
s103,860,420,w,s203,,
s104,860,200,n,s211,,
s105,660,200,s,s204,,
s106,490,200,s,s205,,
s107,290,200,n,s206,,
s108,290,520,w,s208,,
s109,290,820,n,s214,,
s110,560,770,n,r164,s212,
s111,600,770,n,r163,s213,
s112,670,710,n,s210,,
s401,660,500,s,r409,s304,
s402,490,500,n,r403,s305,
r409,500,500,s,r411,,
r411,500,500,e,r410,,
r410,500,500,n,r408,,
r408,500,500,n,r406,,
r406,500,500,n,r404,,
r404,500,500,n,r400,,
r400,500,500,w,r402,,
r402,500,500,s,s402,,
r403,500,500,s,r407,,
r407,500,500,s,s401,,
u000,500,500,n,,,
