name,x,y,direction,next1,next2,next3,next4,next5
R102,270,840,W,T115
R104,160,690,S
R105,270,710,W,T108
R106,160,690,S,R107,R109
R107,160,630,N,R106
R109,240,690,N,R106,T107
R112,290,480,W,T104,T107
R119,290,200,W,T104
R120,220,220,N,T103
R121A,280,200,W,R121B
R121B,280,200,W,R121A,R122
R122,370,200,N,R121B,R123
R123,420,200,S,R122,R124
R124,470,200,N,R123,R125
R125,550,200,N,R124,R126
R126,560,200,S,R125,R129
R129,670,200,N,R126,R131
R130,730,200,N,R131,R132
R131,730,200,S,R129,R130
R132,770,200,N,R130,R133
R133,800,200,N,R132,R139
R139,860,200,E,R133,R140
R140,860,210,E,R139,R143
R142,860,290,W,R143,R144
R143,860,290,E,R140,R142
R144,860,350,W,R142,R145
R145,860,380,E,R144,R146
R146,860,440,E,R145,R147
R147,860,460,W,R146,R148
R148,860,510,E,R147,R149
R149,860,540,W,R148,R152
R152,860,570,W,R149,T106
R153,830,600,S,T105,T106
R160,540,830,W,T114
R161,630,830,N,T114
R162,630,830,S
R163,630,770,E,R165,S110
R164,510,770,N,S109
R165,630,770,N,R163
R167,660,710,S,R168,R174
R168,610,710,N,R167,T111
R169,580,670,N,T111
R170,500,670,N,T110
R174,700,710,S,R167,T112
R201,290,850,E,R202,T208
R202,290,850,W,R201
R203,330,720,S,R283,T209
R204,240,720,S,R205,T208
R205,200,720,S,R204,R206
R206,190,680,N,R205,R207
R207,170,680,N,R206
R208,310,650,E,S209
R211,300,590,E
R212,300,520,E
R213,300,430,E
R214,300,340,E,T205
R215,300,300,E,T202
R216,190,330,N,T205
R218A,160,330,N
R219,300,430,E
R223,300,480,W
R225,100,260,W,T204
R226,270,330,N
R229,280,260,W
R230,280,220,W,T202
R231,360,220,N
R234A,390,220,N
R235,420,220,S
R236,450,220,N
R237,520,220,S
R238,520,220,N
R239,570,220,S
R244,620,220,S
R245,630,220,N
R246,720,220,N
R247,720,220,S
R248,760,220,N
R250,790,220,N,T203
R253,860,140,E,T201
R254,860,90,E,R256,T201
R255,860,90,W,R256
R256,860,90,N,R254,R255
R257,860,210,E
R258,860,240,E
R260,850,320,W
R261,860,320,E
R262,850,370,W
R263,860,400,E
R264,860,430,E
R265,860,460,E
R266,850,470,W
R267,860,530,E
R268,850,540,W
R271,840,600,N
R275,750,630,W
R277,630,640,E,T212
R281,600,770,E,T214
R281A,680,720,S
R283,470,720,S,R203,T210
R284,520,680,W,T210
R301,290,860,E,R301
R301A,290,840,E,R302,R304A
R302,290,870,W,R301A
R303,320,730,S,T305,T306
R304,230,730,S,R305,T305
R304A,290,820,W,R301A,R304B
R304B,290,800,W,R304A,T305
R305,190,730,S,R304,R306
R306,180,730,N,R305,R307
R307,160,730,N,R306
R308,290,650,E,R309A,S309
R309A,290,630,E,R308,R311
R311,290,600,E,R309A
R314,290,490,W,R317,R318
R317,290,520,E,R314,S309
R318,290,340,E,R314,R332,T304
R322,90,330,W,R324,R330,T303
R323,200,340,N,R330,T303,T304
R324,90,270,W,R322,S305
R329,60,340,S,R330
R330,90,340,S,R322,R323,R329,T303
R331,290,280,W,R332,R334
R332,290,290,E,R318,R331,T304
R334,290,240,W,R331,T301
R335,290,210,W,R335A,T301
R335A,290,170,W,R335
R336,340,220,N,R340,T301
R340,430,220,S,R336,R341
R341,450,220,N,R340,R342
R342,510,220,S,R341,R343
R343,520,220,N,R342,R344
R344,560,220,N,R343,R345
R345,630,220,N,R344,R346
R346,630,220,S,R345,R347
R347,730,220,S,R346,R348
R348,730,220,N,R347,R350
R350,830,220,N,R348,T302
R351,860,70,E,R352,R354,S301
R352,860,70,W,R351
R354,860,220,E,R351,R358,T302
R357,860,330,E,R358,R359
R358,860,320,W,R354,R357
R359,860,360,W,R357,R360
R360,860,430,E,R359,R361
R361,860,490,E,R360,R362
R362,860,510,W,R361,R364
R363,860,560,W,R364,R365
R364,860,550,E,R362,R363
R365,860,600,W,R363,R367
R366,860,640,E,R367,R368
R367,860,630,W,R365,R366
R368,860,660,W,R366,R369
R369,860,720,E,R368
R370,860,730,E,R371,T308
R371,860,740,E,R370,R372
R372,860,760,E,R371,R373
R373,860,790,W,R372,R375
R375,860,840,E,R373,R378
R376,860,940,E,R379,T311
R378,860,860,W,R375,R379
R379,860,910,W,R376,R378
R381,640,780,E,T307,T310
R382,650,860,N,R383
R383,650,860,E,R382,R384
R384,650,860,S,R383,T310
R385,580,860,S,T309,T310
R385A,510,860,S,R386,T309
R386,510,860,W,R385A,R387
R387,510,860,N,R386
R388,520,780,W,R389,T306
R389,520,780,E,R388,T309
R392,640,690,E,T307
R395,520,690,W,T306
R400,500,500,W,R402,R404
R402,500,500,S,R400,S401
R403,500,500,S,R407,S401
R404,500,500,N,R400,R406
R406,500,500,N,R404,R408
R407,500,500,S,R403,S402
R408,500,500,N,R406,R410
R409,500,500,S,R411,S402
R410,500,500,N,R408,R411
R411,500,500,E,R409,R410
S101,290,200,N,S201
S102,490,200,S,S202
S103,660,200,S,S203
S104,860,200,N,S204
S105,860,420,W,S206
S106,290,520,W,S207
S107,860,580,E,S208
S108,670,710,N,S213
S109,560,770,N,R164,S211,T113
S110,600,770,N,R163,S212,T113
S111,290,820,N,S210,T115
S112,840,920,W,S311,T119
S201,300,220,N,S101,S302,T202
S202,500,220,S,S102,S303
S203,660,220,S,S103,S304
S204,860,220,N,S104,S301,T203
S205,100,230,N,S305
S206,860,430,W,S105,S306
S207,300,540,W,S106,S307
S208,860,590,E,S107,S308,T207
S209,300,680,W,R208,S309,T209
S210,300,720,S,S111,T209
S211,560,720,S,S109,T210,T211
S212,600,720,S,S110,T211,T212
S213,670,720,N,S108,S310,T212,T213
S301,860,150,S,R351,S204
S302,290,220,N,S201
S303,490,220,S,S202,S401
S304,660,220,S,S203,S402
S305,90,230,N,R324,S205
S306,860,440,W,S206
S307,290,550,W,S207
S308,860,600,E,S208
S309,290,690,W,R308,R317,S209,T305
S310,680,730,N,S213,T307,T308
S311,860,940,W,S112,T311
S401,490,500,N,R402,R403,S303
S402,660,500,S,R407,R409,S304
T101,290,200,
T102,860,200,
T103,220,240,,R120,T104
T104,290,240,,R112,R119,T103
T105,750,600,,R153,T112
T106,860,600,,R152,R153
T107,290,690,,R109,R112,T108
T108,290,710,,R105,T107,T109
T109,350,710,,T108,T110,T116
T110,500,710,,R170,T109,T111
T111,580,710,,R168,R169,T110,T113
T112,750,710,,R174,T105
T113,580,770,,S109,S110,T111,T114
